iter	Passed	Remaining
725	3476	1312
726	3481	1307
727	3485	1302
728	3489	1297
729	3494	1292
730	3498	1287
731	3503	1282
732	3508	1277
733	3512	1272
734	3516	1267
735	3522	1263
736	3526	1258
737	3530	1253
738	3534	1248
739	3539	1243
740	3544	1238
741	3548	1234
742	3553	1229
743	3558	1224
744	3563	1219
745	3567	1214
746	3572	1209
747	3577	1205
748	3581	1200
749	3586	1195
750	3591	1190
751	3595	1185
752	3600	1180
753	3604	1176
754	3608	1171
755	3612	1166
756	3616	1161
757	3621	1156
758	3626	1151
759	3630	1146
760	3635	1141
761	3640	1137
762	3645	1132
763	3649	1127
764	3655	1122
765	3659	1117
766	3663	1112
767	3668	1108
768	3672	1103
769	3676	1098
770	3680	1093
771	3685	1088
772	3689	1083
773	3694	1078
774	3698	1073
775	3703	1068
776	3707	1064
777	3711	1059
778	3716	1054
779	3721	1049
780	3725	1044
781	3729	1039
782	3735	1035
783	3740	1030
784	3745	1025
785	3749	1020
786	3754	1016
787	3759	1011
788	3764	1006
789	3770	1002
790	3774	997
791	3778	992
792	3783	987
793	3788	982
794	3793	978
795	3798	973
796	3803	968
797	3807	963
798	3812	959
799	3817	954
800	3822	949
801	3826	944
802	3832	940
803	3837	935
804	3842	930
805	3847	926
806	3851	921
807	3856	916
808	3860	911
809	3866	906
810	3871	902
811	3874	897
812	3879	892
813	3884	887
814	3889	882
815	3892	877
816	3898	873
817	3902	868
818	3907	863
819	3911	858
820	3915	853
821	3919	848
822	3924	843
823	3929	839
824	3933	834
825	3937	829
826	3941	824
827	3946	819
828	3950	814
829	3954	810
830	3959	805
831	3964	800
832	3968	795
833	3973	790
834	3977	786
835	3982	781
836	3986	776
837	3990	771
838	3995	766
839	3999	761
840	4004	757
841	4008	752
842	4013	747
843	4017	742
844	4022	737
845	4027	733
846	4033	728
847	4039	724
848	4045	719
849	4051	715
850	4057	710
851	4062	705
852	4066	700
853	4071	695
854	4075	691
855	4080	686
856	4084	681
857	4089	676
858	4095	672
859	4099	667
860	4104	662
861	4108	657
862	4113	652
863	4118	648
864	4122	643
865	4127	638
866	4132	633
867	4136	629
868	4141	624
869	4146	619
870	4150	614
871	4155	609
872	4160	605
873	4164	600
874	4170	595
875	4175	591
876	4180	586
877	4186	581
878	4192	577
879	4197	572
880	4203	567
881	4209	563
882	4215	558
883	4220	553
884	4226	549
885	4231	544
886	4237	539
887	4243	535
888	4249	530
889	4255	525
890	4262	521
891	4268	516
892	4276	512
893	4282	507
894	4288	503
895	4294	498
896	4299	493
897	4304	488
898	4309	484
899	4315	479
900	4320	474
901	4324	469
902	4329	465
903	4333	460
904	4338	455
905	4343	450
906	4347	445
907	4352	441
908	4358	436
909	4363	431
910	4367	426
911	4372	421
